Image,Theme,Category,Source,Valence_mean,Valence_SD,Valence_N,Arousal_mean,Arousal_SD,Arousal_N,...1,Valence_mean_men,Valence_SD_men,Valence_N_men,Valence_mean_women,Valence_SD_women,Valence_N_women,Arousal_mean_men,Arousal_SD_men,Arousal_N_men,Arousal_mean_women,Arousal_SD_women,Arousal_N_women
I387,Gargoyle 1,Object,Wikipedia,3.90196078431373,1.3680209303127,102,3.74257425742574,1.70677160362208,101,I387,4.111111111,1.417780311,45,3.732142857,1.327897469,56,3.979591837,1.701589893,49,3.519230769,1.697638321,52
I731,Shark 6,Animal,Wikipedia,3.89814814814815,1.42697519979769,108,3.94230769230769,1.73947276398318,104,I731,4.052631579,1.516822956,57,3.725490196,1.312683227,51,3.714285714,1.71998062,49,4.145454545,1.747147748,55
I522,Neutral face 4,Person,Pixabay,3.89108910891089,0.870643326500696,101,2.17821782178218,1.30687443623296,101,I522,4.066666667,0.809039835,45,3.745454545,0.907135945,55,2.020408163,1.19878056,49,2.326923077,1.396369998,52
I709,Scared face 1,Person,Pixabay,3.89108910891089,0.747007230206106,101,3.20388349514563,1.69404506792939,103,I709,3.810344828,0.804742447,58,4,0.654653671,43,3.0816326530000002,1.681228899,49,3.320754717,1.729535119,53
I734,Shark 9,Animal,Wikipedia,3.88235294117647,1.34454613526005,102,4.43564356435644,1.77434969261506,101,I734,3.886363636,1.10423938,44,3.879310345,1.511100287,58,4.319148936,1.589454144,47,4.596153846,1.902110442,52
I108,Camping 6,Person,Pixabay,3.88118811881188,1.00286717677738,101,3.13592233009709,1.43519175250461,103,I108,3.862068966,1.115257438,58,3.906976744,0.839896634,43,3.244897959,1.40728184,49,3.075471698,1.452439018,53
I567,Nude woman 4,Person,Wikipedia,3.87128712871287,1.42592683077803,101,4.67961165048544,1.81612382013425,103,I567,4.224137931,1.402292652,58,3.395348837,1.329868144,43,5.489795918,1.595859865,49,3.943396226,1.714363465,53
I313,Fence 3,Object,Pixabay,3.85294117647059,0.788494728644138,102,2.4950495049505,1.39013497457073,101,I313,3.818181818,0.620304774,44,3.879310345,0.89985547,58,2.638297872,1.342054426,47,2.384615385,1.443767486,52
I846,Toilet 3,Object,Pixabay,3.83333333333333,0.856926736858662,102,2.36633663366337,1.28625636851467,101,I846,3.888888889,0.934739201,45,3.803571429,0.795890419,56,2.551020408,1.225785879,49,2.192307692,1.328989909,52
I839,Timber 1,Object,Pixabay,3.83168316831683,1.05895521086298,101,2.66990291262136,1.67676362824085,103,I839,3.75862069,0.884770658,58,3.930232558,1.261053015,43,2.836734694,1.662665265,49,2.509433962,1.705451006,53
