"","Image","Theme","Category","Source","Valence_mean","Valence_SD","Valence_N","Arousal_mean","Arousal_SD","Arousal_N","Valence_mean_men","Valence_SD_men","Valence_N_men","Valence_mean_women","Valence_SD_women","Valence_N_women","Arousal_mean_men","Arousal_SD_men","Arousal_N_men","Arousal_mean_women","Arousal_SD_women","Arousal_N_women","Valence_gender_difference"
"38","I493","Miserable_face_2","Person","Pixabay",2.58823529411765,1.15486865376755,102,3.89108910891089,1.82702484985295,101,2.733333333,1.115999348,45,2.5,1.175507627,56,3.673469388,1.852787934,49,4.096153846,1.796069951,52,0.233333333
"39","I527","Nude_couple_1","Person","Wikipedia",5.42156862745098,1.2058953742591,102,4.99009900990099,1.33787181377702,101,5.288888889,1.290211791,45,5.535714286,1.143587429,56,5.040816327,1.413612153,49,4.942307692,1.274385073,52,0.246825397
"40","I528","Nude_couple_2","Person","Wikipedia",5.44117647058824,1.07697347671143,102,4.40594059405941,1.55034330276737,101,5.568181818,0.899553566,44,5.344827586,1.192840104,58,4.829787234,1.356452357,47,4.076923077,1.594674395,52,0.223354232
"41","I575","Nude_woman_12","Person","Pixabay",5.20792079207921,1.35142022837582,101,4.92233009708738,1.8078766680364,103,5.482758621,1.314445775,58,4.837209302,1.326115569,43,5.87755102,1.423502913,49,4.056603774,1.703109084,53,0.645549319000001
"42","I592","Orangutan_1","Animal","Pixabay",4.94117647058824,1.20085389925739,102,3.57425742574257,1.68134787984798,101,4.863636364,0.851562424,44,5,1.414213562,58,3.212765957,1.573367618,47,3.961538462,1.703071487,52,0.136363636
"43","I617","Performance_1","Scene","Pixabay",5.57425742574257,1.08946348863526,101,3.86407766990291,1.72096953801367,103,5.413793103,1.155224331,58,5.790697674,0.965059572,43,4,1.683250823,49,3.79245283,1.736026526,53,0.376904571
"44","I622","Picnic_3","Person","Pixabay",4.5462962962963,1.18703478253142,108,3.26923076923077,1.66768701651823,104,4.578947368,1.194442016,57,4.509803922,1.189496516,51,2.836734694,1.650087608,49,3.654545455,1.60113596,55,0.069143446
"45","I637","Plane_crash_2","Scene","Pixabay",2.81372549019608,1.19180694958806,102,3.87128712871287,1.68323121606411,101,3.066666667,1.321156518,45,2.642857143,1.034470816,56,3.857142857,1.755942292,49,3.884615385,1.628831485,52,0.423809524
"46","I646","Power_lines_1","Scene","Pixabay",3.97058823529412,1.11209268750532,102,2.67326732673267,1.40789851119382,101,3.8,1.198483891,45,4.107142857,1.038855514,56,2.714285714,1.369306394,49,2.634615385,1.455602377,52,0.307142857000001
"47","I688","Sad_face_1","Person","Pixabay",2.68627450980392,1.03388522408028,102,4.33663366336634,1.80153949566904,101,2.681818182,0.85651341,44,2.689655172,1.157839739,58,4.170212766,1.685218976,47,4.557692308,1.893367801,52,0.00783698999999993
"48","I694","Sad_face_7","Person","Pixabay",3.13861386138614,1.08655145271908,101,3.79611650485437,1.70558036411376,103,3.448275862,1.078862523,58,2.720930233,0.959304842,43,3.591836735,1.731068641,49,3.962264151,1.686624578,53,0.727345629
"49","I710","Scared_face_2","Person","Pixabay",3.77450980392157,1.01383364918499,102,3.1980198019802,1.61876373804331,101,3.755555556,1.208973185,45,3.803571429,0.840338522,56,3.244897959,1.57494196,49,3.153846154,1.673139768,52,0.0480158729999998
"50","I711","Scared_face_3","Person","Pixabay",3.0462962962963,1.29256868983048,108,4.11538461538461,1.73657229788467,104,3.192982456,1.394358487,57,2.882352941,1.160121697,51,4,1.707825128,49,4.218181818,1.771073216,55,0.310629515
"51","I738","Shot_1","Object","Pixabay",2.76470588235294,1.18719630270363,102,4.21782178217822,1.81991186817406,101,2.711111111,1.254486897,45,2.839285714,1.124548972,56,4.204081633,1.80253978,49,4.230769231,1.853617392,52,0.128174603
"52","I768","Snake_2","Animal","Wikipedia",3.07843137254902,1.43979010096875,102,4.25742574257426,1.9165253212339,101,3.2,1.56088553,45,2.982142857,1.355005152,56,4.142857143,1.892969449,49,4.365384615,1.950654452,52,0.217857143
"53","I769","Snake_3","Animal","Wikipedia",2.91176470588235,1.3795030040373,102,4.57425742574257,1.96135939926096,101,3.088888889,1.534781924,45,2.785714286,1.246293205,56,4.387755102,1.987631825,49,4.75,1.939021382,52,0.303174603
"54","I795","Statue_1","Object","Pixabay",5.33333333333333,1.1600837868548,108,2.80769230769231,1.63146799746007,104,5.157894737,1.17700397,57,5.529411765,1.119873942,51,2.775510204,1.661642086,49,2.836363636,1.618911801,55,0.371517028
