Image,Theme,Category,Source,Valence_mean,Low_Valence,High_Valence,Correct_Group,Valence_SD,Valence_N,Arousal_mean,Arousal_SD,Arousal_N,Valence_mean_men,Valence_SD_men,Valence_N_men,Valence_mean_women,Valence_SD_women,Valence_N_women,Arousal_mean_men,Arousal_SD_men,Arousal_N_men,Arousal_mean_women,Arousal_SD_women,Arousal_N_women,Valence_gender_difference
I155,Child_labor_3,Person,Pixabay,4.088235294,0,1,0,1.178209257,102,3.504950495,1.58507894,101,4.088888889,1.378771229,45,4.071428571,1.006472559,56,3.408163265,1.731068641,49,3.596153846,1.445203227,52,0.017460318
I259,Dog_9,Animal,Public Domain Photos,4.12745098,0,1,,1.199600335,102,4.059405941,1.742537128,101,4.113636364,1.125102767,44,4.137931034,1.262804952,58,3.765957447,1.535277428,47,4.307692308,1.894661867,52,0.02429467
I642,Police_3,Person,Pixabay,4.287037037,0,1,,1.215560529,108,3.394230769,1.686141509,104,4.210526316,1.359317609,57,4.37254902,1.038475504,51,3.142857143,1.732050808,49,3.618181818,1.627209712,55,0.162022704
I683,Rooster_1,Animal,Flickr/Craig Marren,4.323529412,0,1,,1.170273428,102,3.455445545,1.58445418,101,4.181818182,1.017811772,44,4.431034483,1.271993448,58,3.191489362,1.469076875,47,3.730769231,1.646331449,52,0.249216301
I244,Doctor_3,Person,Pixabay,4.351851852,0,1,,1.162617212,108,3.182692308,1.670790889,104,4.298245614,0.999373237,57,4.411764706,1.329307648,51,2.87755102,1.494889253,49,3.454545455,1.782821129,55,0.113519092
I834,Thunderstorm_10,Scene,Pixabay,4.366336634,0,1,,1.18930881,101,4.40776699,1.688698845,103,4.293103448,1.076195715,58,4.465116279,1.33361016,43,4.489795918,1.515509389,49,4.320754717,1.858179267,53,0.172012831
I194,Crow_2,Animal,Pixabay,4.407407407,0,1,,1.184297868,108,2.663461538,1.432023329,104,4.456140351,1.166039932,57,4.352941176,1.21364788,51,2.428571429,1.38443731,49,2.872727273,1.453661347,55,0.103199175
I318,Fire_1,Person,Pixabay,4.407407407,0,1,0,1.21545374,108,4.355769231,1.700475486,104,4.578947368,1.209299804,57,4.215686275,1.205217416,51,3.897959184,1.710809968,49,4.763636364,1.598189211,55,0.363261093
I480,Lightning_7,Scene,Wikipedia,4.435643564,0,1,0,1.195122099,101,4.466019417,1.673411064,103,4.344827586,1.13248251,58,4.558139535,1.278062626,43,4.448979592,1.608068516,49,4.471698113,1.760722902,53,0.213311949
I831,Thunderstorm_7,Scene,Pixabay,4.485148515,0,1,0,1.179947977,101,4.155339806,1.730676404,103,4.431034483,1.027892905,58,4.558139535,1.368042146,43,4.204081633,1.485760073,49,4.094339623,1.953932435,53,0.127105052
I799,Stingray_3,Animal,Pixabay,4.534653465,0,1,0,1.196364129,101,4.087378641,1.621587192,103,4.413793103,1.139936637,58,4.697674419,1.263684781,43,4.224489796,1.544685865,49,3.943396226,1.703109084,53,0.283881316
I622,Picnic_3,Person,Pixabay,4.546296296,0,1,,1.187034783,108,3.269230769,1.667687017,104,4.578947368,1.194442016,57,4.509803922,1.189496516,51,2.836734694,1.650087608,49,3.654545455,1.60113596,55,0.069143446
I719,School_4,Person,Pixabay,4.564814815,0,1,0,1.162282223,108,3.317307692,1.608620123,104,4.49122807,1.182050383,57,4.647058824,1.145836453,51,2.93877551,1.463559634,49,3.654545455,1.669089149,55,0.155830754
I687,Running_away_1,Person,Pixabay,4.578431373,0,1,,1.2140781,102,3.564356436,1.545418012,101,4.644444444,1.170771998,45,4.535714286,1.264397603,56,3.591836735,1.566822253,49,3.538461538,1.539818406,52,0.108730158
I4,Alcohol_1,Object,Pixabay,4.685185185,0,1,,1.189110625,108,2.865384615,1.695554967,104,4.701754386,1.362310436,57,4.666666667,0.972967968,51,2.653061224,1.714533712,49,3.054545455,1.671306672,55,0.035087719
I618,Performance_2,Scene,Pixabay,4.703703704,0,1,,1.224815525,108,3.490384615,1.806112557,104,4.964912281,1.238733689,57,4.411764706,1.151980392,51,3.12244898,1.775207183,49,3.818181818,1.785651755,55,0.553147575
I299,Exercise_1,Person,Pixabay,4.705882353,0,1,,1.165411034,102,3.633663366,1.585703454,101,4.727272727,0.949017518,44,4.689655172,1.313985454,58,3.744680851,1.687139142,47,3.480769231,1.488391481,52,0.037617555
I7,Alcohol_4,Object,Pixabay,4.768518519,0,1,,1.172954425,108,2.865384615,1.649110924,104,4.736842105,1.203066258,57,4.803921569,1.149253807,51,2.775510204,1.661642086,49,2.945454545,1.648997247,55,0.067079464
I558,Nude_man_19,Person,Wikipedia,4.768518519,0,1,,1.180895284,108,3.798076923,1.876682715,104,4.456140351,1.103082943,57,5.117647059,1.177235046,51,2.857142857,1.732050808,49,4.636363636,1.591221711,55,0.661506708
I474,Lightning_1,Scene,Pixabay,4.852941176,0,1,,1.172262421,102,4.524752475,1.622307365,101,4.909090909,1.03019939,44,4.810344828,1.276740595,58,4.574468085,1.470650268,47,4.480769231,1.765579221,52,0.098746081
I201,Dancing_3,Person,Pixabay,4.882352941,0,1,,1.212918236,102,3.851485149,1.645515959,101,4.659090909,1.140036348,44,5.051724138,1.24847154,58,3.744680851,1.35883718,47,4.019230769,1.852294651,52,0.392633229
I44,Bar_1,Scene,Pixabay,4.901960784,0,1,0,1.18162335,102,3.455445545,1.603276348,101,5.068181818,1.02066388,44,4.775862069,1.284770489,58,3.744680851,1.594393508,47,3.173076923,1.605397194,52,0.292319749
I592,Orangutan_1,Animal,Pixabay,4.941176471,0,1,,1.200853899,102,3.574257426,1.68134788,101,4.863636364,0.851562424,44,5,1.414213562,58,3.212765957,1.573367618,47,3.961538462,1.703071487,52,0.136363636
I488,Meerkat_1,Animal,Pixabay,4.953703704,0,1,,1.179135271,108,3.346153846,1.647411802,104,4.929824561,1.099669579,57,4.980392157,1.272638143,51,3.163265306,1.598787806,49,3.509090909,1.687346451,55,0.050567596
I781,Solar_panel_1,Scene,Pixabay,5.009803922,0,1,,1.222682476,102,2.732673267,1.593054231,101,4.977777778,1.215223303,45,5.035714286,1.249935063,56,3.081632653,1.705832332,49,2.403846154,1.417808519,52,0.057936508
