SUBJ,Name,Encode,Stim,Vcat,Acat,Vrate,Arate,Vrt,Art,Recall,Rrt,VrateOASIS,ArateOASIS
AMYR21PT04,Bloody knife 2.jpg,0,0,0,0,999,999,999,999,0,19.6386142000556,999,999
AMYR21PT04,Dancing 8.jpg,1,1,1,0,999,999,999,999,1,3.96604850003496,999,999
AMYR21PT04,Miserable pose 5.jpg,1,1,0,0,999,999,999,999,1,6.17305149999447,999,999
AMYR21PT04,Skydiving 2.jpg,1,1,1,1,999,999,999,999,1,3.69100769993383,999,999
AMYR21PT04,Cliff diver 1.jpg,0,0,1,1,999,999,999,999,0,6.40975120000076,999,999
AMYR21PT04,Football player 1.jpg,0,0,1,0,999,999,999,999,1,5.76747199997772,999,999
AMYR21PT04,Skydiving 4.jpg,1,0,1,1,999,999,999,999,1,3.87301789992489,999,999
AMYR21PT04,Toilet 4.jpg,1,0,0,0,999,999,999,999,1,4.75655209994875,999,999
AMYR21PT04,Cold 6.jpg,1,0,1,1,999,999,999,999,0,2.37387720006518,999,999
AMYR21PT04,Couple 6.jpg,0,0,1,1,999,999,999,999,1,8.62806419993285,999,999
AMYR21PT04,Cliff diver 3.jpg,0,0,1,1,999,999,999,999,1,2.67773989995476,999,999
AMYR21PT04,Sleepy pose 4.jpg,0,0,0,0,999,999,999,999,0,3.62039749999531,999,999
AMYR21PT04,Frustrated pose 2.jpg,1,0,0,0,999,999,999,999,0,4.07373220007867,999,999
AMYR21PT04,Sleepy pose 2.jpg,1,0,0,0,999,999,999,999,0,2.84063500002958,999,999
AMYR21PT04,Angry pose 1.jpg,0,0,0,0,999,999,999,999,0,1.71155350003392,999,999
AMYR21PT04,Parachuting 3.jpg,1,1,1,1,999,999,999,999,1,5.47827520000283,999,999
AMYR21PT04,Fireman 1.jpg,1,0,0,1,999,999,999,999,1,2.13300119992346,999,999
AMYR21PT04,Camping 2.jpg,0,0,1,0,999,999,999,999,0,6.34165489999577,999,999
AMYR21PT04,Bungee jumping 2.jpg,0,0,1,1,999,999,999,999,1,4.15431000001263,999,999
AMYR21PT04,Flood 1.jpg,0,0,0,1,999,999,999,999,1,5.11313650000375,999,999
AMYR21PT04,Frisbee 1.jpg,0,0,1,0,999,999,999,999,1,5.33165259996895,999,999
AMYR21PT04,Soldiers 9.jpg,0,0,0,1,999,999,999,999,0,6.19715739996172,999,999
AMYR21PT04,Fire 2.jpg,0,0,0,1,999,999,999,999,1,2.07958919997327,999,999
AMYR21PT04,Car race 1.jpg,0,0,1,0,999,999,999,999,0,6.23898959998041,999,999
AMYR21PT04,Gazing 4.jpg,0,0,1,0,999,999,999,999,0,7.63551169994753,999,999
AMYR21PT04,Police 4.jpg,0,0,0,0,999,999,999,999,0,12.0207369000418,999,999
AMYR21PT04,War 8.jpg,0,0,0,1,999,999,999,999,0,6.67637789994478,999,999
AMYR21PT04,War 5.jpg,0,0,0,1,999,999,999,999,0,5.39216990000568,999,999
AMYR21PT04,Boxing 1.jpg,0,0,0,0,999,999,999,999,1,3.74269220000133,999,999
AMYR21PT04,Bored pose 6.jpg,1,1,1,0,999,999,999,999,1,4.59957969991956,999,999
AMYR21PT04,Explosion 3.jpg,1,0,0,1,999,999,999,999,1,8.84012740000617,999,999
AMYR21PT04,Musician 1.jpg,0,0,1,0,999,999,999,999,1,5.22674020007253,999,999
AMYR21PT04,Destruction 2.jpg,0,0,0,0,999,999,999,999,0,4.93792010005563,999,999
AMYR21PT04,Massage 2.jpg,1,0,1,1,999,999,999,999,1,4.5691886000568,999,999
AMYR21PT04,Parachuting 1.jpg,0,0,1,1,999,999,999,999,0,3.01787340000737,999,999
