,Theme,Category,Source,Valence_mean_men,Valence_SD_men,Valence_N_men,Valence_mean_women,Valence_SD_women,Valence_N_women,Arousal_mean_men,Arousal_SD_men,Arousal_N_men,Arousal_mean_women,Arousal_SD_women,Arousal_N_women
I276,Dog 26,1,Flickr/virtualcorey,1.421052632,0.777986605,57,1.156862745,0.543048765,51,4.204081633,2.309216965,49,5.436363636,2.158219743,55
I277,Dog 27,1,Wikipedia,5.224137931,1.325103153,58,5.465116279,1.297412025,43,4.265306122,1.578178145,49,4.169811321,1.672582631,53
I278,Dog 28,1,Flickr/wplynn,5.385964912,1.114104156,57,5.823529412,1.228102314,51,3.489795918,1.733523014,49,3.618181818,1.850834738,55
I279,Dog 29,1,Pixabay,5.068181818,0.949852553,44,5.586206897,1.043517714,58,3.659574468,1.550267799,47,4.25,1.813619499,52
I280,Dog 30,1,All-free-download.com,4.280701754,1.555570474,57,4.921568627,1.572808154,51,3.285714286,1.707825128,49,3.818181818,1.816497536,55
I281,Dog 31,1,Wikipedia,2.315789474,1.104502065,57,1.823529412,1.05272755,51,3.734693878,1.776882924,49,4.618181818,2.059224136,55
I282,Dog attack 1,1,Wikipedia,2.771929825,1.451815906,57,2.941176471,1.4479194,51,4.081632653,1.869009705,49,5.036363636,1.677339564,55
I283,Dog attack 2,1,Wikipedia,3.413793103,1.298237439,58,3.441860465,1.181248846,43,4.326530612,1.448961627,49,4.603773585,1.790354742,53
I284,Dog attack 3,1,Wikipedia,2.772727273,1.158660742,44,2.551724138,1.365905827,58,4.829787234,1.578650345,47,5.346153846,1.54519642,52
I285,Drink 1,2,Pixabay,4.613636364,0.784023881,44,4.517241379,1.188266898,58,2.914893617,1.54398957,47,2.519230769,1.650791665,52
I286,Drink 2,2,Pixabay,4.466666667,1.217299545,45,4.285714286,1.275136866,56,2.836734694,1.448374646,49,2.903846154,1.624078808,52
I287,Dummy 1,2,Flickr/Christopher Michel,1.192982456,0.580596875,57,1.117647059,0.515637812,51,4.612244898,2.456422929,49,5.727272727,2.198101415,55
I288,Eating 1,3,Wikipedia,5.551724138,0.958295523,58,5.860465116,0.965633159,43,3.408163265,1.539999558,49,3.547169811,1.704812619,53
I289,Eating 2,3,Publicdomainpictures.net,5.333333333,1.066003582,45,5.339285714,0.995933289,56,3.897959184,1.636114528,49,2.615384615,1.622801332,52
I290,Eating 3,3,Wikipedia,5.035087719,0.999373237,57,5.274509804,1.096876135,51,2.612244898,1.469358229,49,2.636363636,1.470243572,55
I291,Elephant 1,1,Pixabay,5.568181818,0.974028491,44,6.086206897,0.923085648,58,4.340425532,1.339639727,47,4.480769231,1.709149365,52
I292,Excited face 1,3,Flickr/Aaron Shumaker,5.603448276,0.916508538,58,5.534883721,1.202157529,43,4.204081633,1.658055988,49,3.528301887,1.68253213,53
I293,Excited face 2,3,Flickr/Shreyans Bhansali,5.636363636,1.12251605,44,5.965517241,0.954500278,58,3.957446809,1.601051921,47,4.25,1.758731718,52
I294,Excited face 3,3,Pixabay,5.596491228,1.015234827,57,5.941176471,0.881175685,51,3.204081633,1.645443099,49,3.709090909,1.749843668,55
I295,Excited face 4,3,Wikipedia,4.25862069,0.909218767,58,4.23255814,0.971920272,43,3.102040816,1.648798779,49,3.075471698,1.517197018,53
I296,Excited face 5,3,Pixabay,5.482758621,1.046990328,58,5.88372093,1.051287246,43,3.530612245,1.684513293,49,3.867924528,1.829646202,53
I297,Excited face 6,3,Pixabay,5.596491228,0.997490586,57,5.882352941,1.051609411,51,3.285714286,1.607275127,49,3.654545455,1.624102964,55
I298,Excited face 7,3,Pixabay,4.637931034,1.422849573,58,4.906976744,1.305919736,43,3.448979592,1.756668538,49,3.509433962,1.624602218,53
I299,Exercise 1,3,Pixabay,4.727272727,0.949017518,44,4.689655172,1.313985454,58,3.744680851,1.687139142,47,3.480769231,1.488391481,52
I300,Exercise 2,3,Pixabay,4.719298246,1.191553397,57,4.647058824,0.934313211,51,3.530612245,1.72121615,49,4.236363636,1.490260186,55
I301,Exercise 3,3,Pixabay,4.711111111,1.160372633,45,4.964285714,1.190328995,56,4.183673469,1.716020947,49,4.403846154,1.445203227,52
I302,Explosion 1,4,Pixabay,3.136363636,1.549056864,44,2.275862069,1.496113133,58,5.14893617,1.628265594,47,5.192307692,1.760553183,52
I303,Explosion 2,4,Pixabay,2.586206897,1.717142493,58,2.093023256,1.34188839,43,5.081632653,1.754004165,49,4.905660377,2.105525249,53
I304,Explosion 3,4,Pixabay,3,1.669045921,57,2.254901961,1.440043572,51,4.510204082,2.011658198,49,5.290909091,1.728548173,55
I305,Explosion 4,4,Pixabay,2.649122807,1.407774689,57,2.333333333,1.24365054,51,4.163265306,1.806780502,49,4.436363636,2.225805192,55
I306,Explosion 5,4,Pixabay,1.977272727,1.284770115,44,1.706896552,1.311335474,58,5.191489362,1.884009345,47,5.769230769,1.675842014,52
I307,Explosion 6,4,Pixabay,2.568965517,1.258125436,58,1.837209302,1.111203392,43,4.795918367,1.859430825,49,4.830188679,1.97810952,53
I308,Father 1,3,Pixabay,5.689655172,1.172894105,58,6.488372093,0.735886023,43,4.020408163,1.842663334,49,4.735849057,1.78832693,53
I309,Feces 1,2,Wikipedia,2.204545455,1.152944571,44,2.086206897,0.941899588,58,2.893617021,1.747470751,47,3.288461538,2.117495176,52
I310,Feces 2,2,Wikipedia,2.222222222,1.063632047,45,1.857142857,0.980325946,56,3.142857143,2.121320344,49,3.884615385,1.946881329,52
I311,Fence 1,2,Pixabay,3.775862069,0.773306944,58,3.674418605,0.778304942,43,2.448979592,1.541930939,49,1.905660377,1.376508277,53
I312,Fence 2,2,Pixabay,4.24137931,0.53999171,58,4.186046512,0.587805197,43,2.448979592,1.400315805,49,2.188679245,1.58182713,53
I313,Fence 3,2,Pixabay,3.818181818,0.620304774,44,3.879310345,0.89985547,58,2.638297872,1.342054426,47,2.384615385,1.443767486,52
I314,Fence 4,2,Pixabay,2.977272727,1.088814939,44,2.810344828,1.11539304,58,3.191489362,1.393124388,47,3.173076923,1.700301632,52
I315,Fence 5,2,Pixabay,3.888888889,0.831816802,45,3.678571429,1.192509087,56,2.06122449,1.375502382,49,2.076923077,1.493070975,52
I316,Fence 6,2,Pixabay,4.159090909,1.033017297,44,4.431034483,1.01068101,58,2.617021277,1.29469136,47,2.384615385,1.374185622,52
I317,Ferret 1,1,Pixabay,2.704545455,0.794736916,44,2.879310345,1.427518841,58,4.14893617,1.966885901,47,4.903846154,1.72932737,52
I318,Fire 1,3,Pixabay,4.578947368,1.209299804,57,4.215686275,1.205217416,51,3.897959184,1.710809968,49,4.763636364,1.598189211,55
I319,Fire 2,4,Pixabay,2.315789474,1.453541178,57,1.568627451,0.830780403,51,4.285714286,1.925703335,49,5.036363636,1.981055053,55
I320,Fire 3,4,Pixabay,2.385964912,1.264266953,57,1.68627451,0.787151728,51,3.897959184,2.074095164,49,5.072727273,1.824265915,55
I321,Fire 4,4,Pixabay,4.355555556,1.170771998,45,4.321428571,1.490663584,56,4.142857143,1.779513042,49,4.269230769,1.716304564,52
I322,Fire 5,4,Pixabay,1.931818182,1.02066388,44,1.586206897,0.93723151,58,4.957446809,1.921926647,47,5.615384615,1.705284131,52
I323,Fire 6,4,Pixabay,2.482758621,1.259927307,58,1.88372093,1.219080495,43,4.591836735,1.869919421,49,4.452830189,2.135470023,53
I324,Fire 7,4,Pixabay,1.982758621,0.964117255,58,1.418604651,0.698043461,43,4.530612245,2.011446834,49,4.660377358,2.192148544,53
I325,Fire 8,4,Pixabay,4.224137931,1.556459133,58,4.162790698,1.888943173,43,4.693877551,1.839430184,49,4.679245283,1.968732362,53
I326,Fire 9,4,Pixabay,1.659090909,0.83368562,44,1.327586207,0.632120659,58,4.829787234,1.821599261,47,5.480769231,1.924968903,52
I327,Fire 10,4,Pixabay,2.909090909,1.177663864,44,2.137931034,1.115257438,58,4.659574468,1.521963774,47,4.769230769,1.86416553,52
I328,Fire 11,4,Pixabay,2.090909091,1.177663864,44,1.5,0.995604374,58,5.021276596,1.835511559,47,5.673076923,1.854735897,52
I329,Fire hydrant 1,2,Pixabay,4.090909091,0.42141411,44,4.275862069,0.874454285,58,2.361702128,1.241064268,47,2.269230769,1.373636716,52
I330,Fire hydrant 2,2,Pixabay,4.175438596,0.684595997,57,4.274509804,0.750424716,51,1.897959184,1.22890361,49,2.054545455,1.268101261,55
I331,Fire hydrant 3,2,Pixabay,4.244444444,0.570309149,45,4.25,0.744678088,56,2.591836735,1.484901334,49,2.115384615,1.278078309,52
I332,Fire hydrant 4,2,Pixabay,4.385964912,1.04803193,57,4.490196078,0.833607798,51,2.142857143,1.38443731,49,2.436363636,1.384619701,55
I333,Fireman 1,3,Pixabay,3.386363636,1.350553876,44,2.879310345,1.522666016,58,4.680851064,1.603072905,47,5.096153846,1.870929468,52
I334,Fireworks 1,4,Pixabay,6.140350877,0.914927719,57,6.176470588,0.86500595,51,4.081632653,1.754004165,49,4.727272727,1.758098146,55
I335,Fireworks 2,4,Pixabay,6.295454545,0.794736916,44,6.25862069,0.983376654,58,4.936170213,1.673375336,47,5.019230769,1.841678525,52
I336,Fireworks 3,4,Wikipedia,5.844444444,0.975974002,45,6.285714286,0.985610761,56,4.775510204,1.558114594,49,4.5,1.841780894,52
I337,Fireworks 4,4,Wikipedia,5.789473684,0.958735069,57,6.137254902,0.825096548,51,3.979591837,1.613611321,49,4.618181818,1.779418435,55
I338,Fireworks 5,4,Wikipedia,5.666666667,1.187051351,45,5.928571429,1.07630923,56,4.244897959,1.465301622,49,4.173076923,1.801101557,52
I339,Fireworks 6,4,Wikipedia,5.954545455,0.9138354,44,6.224137931,1.026715141,58,4.70212766,1.640716885,47,4.826923077,1.593136675,52
I340,Fireworks 7,4,Wikipedia,5.586206897,1.17031234,58,5.976744186,1.079867101,43,4.408163265,1.512701327,49,4.490566038,1.68274777,53
I341,Flood 1,4,Pixabay,2.555555556,1.289036912,45,2.232142857,0.762557215,56,4.224489796,1.770890855,49,4.038461538,1.66817428,52
I342,Flood 2,4,Pixabay,2.586206897,1.108729046,58,2.046511628,1.022450101,43,3.693877551,1.722450793,49,3.981132075,1.875864581,53
I343,Flood 3,4,Pixabay,2.488888889,1.254486897,45,2.160714286,1.057901623,56,4.326530612,1.795686441,49,4.25,1.713556101,52
I344,Flowers 1,2,Pixabay,5.465517241,1.07956322,58,6.162790698,0.843186489,43,3.448979592,1.646476345,49,3.867924528,1.971310925,53
I345,Flowers 2,2,Pixabay,5.590909091,1.167748416,44,6.224137931,0.859275571,58,3.127659574,1.568951759,47,3.711538462,1.963755291,52
I346,Flowers 3,2,Pixabay,5.379310345,1.136747996,58,6.348837209,0.752257584,43,3.530612245,1.792368554,49,3.867924528,1.911883242,53
I347,Flowers 4,2,Pixabay,5.293103448,1.076195715,58,6.255813953,0.819204703,43,3.612244898,1.656003303,49,3.79245283,1.894917195,53
I348,Flowers 5,2,Pixabay,5.275862069,1.120668714,58,6.11627907,0.931187218,43,3.408163265,1.580062859,49,3.547169811,1.682100767,53
I349,Flowers 6,2,Pixabay,5.754385965,0.95020114,57,6.156862745,0.833607798,51,2.775510204,1.503680292,49,3.218181818,1.781498631,55
I350,Flowers 7,2,Pixabay,5.327586207,1.145363361,58,6.162790698,0.870966419,43,3.408163265,1.539999558,49,3.566037736,1.865779214,53
I351,Flowers 8,2,Pixabay,5.727272727,0.949017518,44,6.051724138,0.962861485,58,3.595744681,1.740309499,47,3.730769231,1.681681985,52
I352,Flowers 9,2,Pixabay,5.620689655,1.18214177,58,6.255813953,0.978166975,43,3.836734694,1.624640201,49,4.301886792,1.90732299,53
I353,Flowers 10,2,Pixabay,5.245614035,1.106485778,57,5.274509804,1.217841227,51,2.897959184,1.710809968,49,3.4,1.498147004,55
