trial_number,highcue_indx,cue_observed_mean,Image,Theme,Category,Pair,Half,Source,Valence_mean,Valence_SD,Valence_N,Arousal_mean,Arousal_SD,Arousal_N,Valence_mean_men,Valence_SD_men,Valence_N_men,Valence_mean_women,Valence_SD_women,Valence_N_women,Arousal_mean_men,Arousal_SD_men,Arousal_N_men,Arousal_mean_women,Arousal_SD_women,Arousal_N_women,Valence_gender_difference,cue_mean,cue_observed_std,image_cue_values_1,image_cue_values_2,image_cue_values_3,image_cue_values_4,image_cue_values_5,image_cue_values_6,image_cue_values_7,image_cue_values_8,image_cue_values_9,image_cue_values_10,cue_deviation_from_norm
11,1,4.9711028900146,860,Wall_2,Object,30,1,Pixabay,4.02941176470588,0.496639845060589,102,1.69306930693069,1.23889123217033,101,4.022727273,0.263132857,44,4.034482759,0.620286217,58,1.680851064,1.181494687,47,1.634615385,1.172041058,52,0.0117554860000002,4.82941176470588,0.513044798731107,5.69995255873695,4.66802727392963,5.06433444015924,5.11411665603823,4.39415240076686,4.82137070641201,4.41660878810555,4.87754065203643,5.95643771981813,4.69848770414298,0.94169112530872
12,-1,3.68674368291833,50,Bark_2,Object,7,1,Pixabay,4.25925925925926,0.857843093623741,108,2.11538461538462,1.45687317989085,104,4.228070175,0.906672564,57,4.294117647,0.807319457,51,2.183673469,1.467331327,49,2.054545455,1.458286435,55,0.0660474720000001,3.45925925925926,0.670550558171442,3.93584491955604,4.04211380334106,3.833478024895,3.99687645764165,4.6876806286129,2.26624055046739,3.78791501625178,3.4212465677642,2.93504677220138,3.96099408845188,-0.572515576340932
13,1,5.63308822878963,44,Bar_1,Scene,6,1,Pixabay,4.90196078431373,1.18162334989673,102,3.45544554455446,1.6032763484518,101,5.068181818,1.02066388,44,4.775862069,1.284770489,58,3.744680851,1.594393508,47,3.173076923,1.605397194,52,0.292319748999999,5.70196078431373,0.492292497310935,5.85449368698432,5.73432759444404,6.17118826076748,5.26061012400294,5.6190736735856,5.87140599303365,5.43870154669118,5.89827186900997,4.45984428477878,6.02296525459834,0.731127444475899
14,1,6.35910372113185,814,Sunset_5,Scene,28,1,Pixabay,5.87962962962963,1.12505528497673,108,3.53846153846154,1.88464967733352,104,5.807017544,1.201763533,57,5.960784314,1.038475504,51,3.571428571,1.71998062,49,3.509090909,2.035542764,55,0.153766769999999,6.67962962962963,0.595738839027415,6.63911055071519,6.8657766900938,6.20613266325877,6.85634711512448,5.34216259607996,6.0388797863296,6.98952673618745,5.4592048354337,6.85313818672297,6.34075805137259,0.479474091502221
15,1,6.35540791356958,252,Dog_2,Animal,14,1,Pixabay,5.9009900990099,1.03445590041383,101,4.39805825242718,1.63503196482061,103,5.706896552,1.059768606,58,6.162790698,0.949441755,43,4.265306122,1.538065752,49,4.509433962,1.738950186,53,0.455894146,6.7009900990099,0.499818090382827,6.66583980436629,6.42892529748846,6.48262852133017,6.85594538872691,6.49286260946815,5.51295379077809,6.28189359580174,6.33464733084565,5.49990990784487,6.99847288904552,0.454417814559685
16,1,3.44470605200925,17,Angry_face_3,Person,3,1,Wikipedia,2.5,1.06007658979794,102,3.66336633663366,1.79040346136156,101,2.555555556,0.966614419,45,2.482142857,1.128008243,56,3.857142857,1.802775638,49,3.480769231,1.776650126,52,0.0734126989999999,3.3,0.704469932520008,3.48115035444296,3.72255949244923,4.85467574925777,2.14210855942099,3.77628734710737,3.39508051515262,3.2734087835656,2.8148039378071,3.21073249011107,3.77625329077777,0.944706052009249
17,1,6.6977126321579,32,Baby_1,Person,5,1,Pixabay,6.17592592592593,0.993706398126079,108,4.08653846153846,1.76871725183901,104,5.98245614,1.043538419,57,6.392156863,0.896179254,51,3.734693878,1.93407504,49,4.4,1.558726926,55,0.409700723,6.97592592592593,0.336307162557943,6.92529809335174,6.96674969291269,6.36225950790429,6.95374438437884,6.65023539707623,6.51958388628289,6.98955827334123,6.8196487366573,6.84134166001973,5.9487066896541,0.521786706231975
18,1,4.2954131399683,407,Graveyard_2,Scene,20,1,Wikipedia,3.27722772277228,1.14121699848178,101,3.57281553398058,1.79652137584666,103,3.396551724,1.168889939,58,3.11627907,1.095647283,43,3.530612245,1.768969107,49,3.603773585,1.853682641,53,0.280272654,4.07722772277228,0.631604228201068,5.28319047414983,4.21818822869983,3.69384696824531,4.35849637752018,4.66130422892939,3.34342002445784,4.23491196983404,3.73956891207682,5.23272846743826,4.18847574833153,1.01818541719602
19,-1,4.57594146413925,345,Flowers_2,Object,17,1,Pixabay,5.95098039215686,1.04717867994461,102,3.45544554455446,1.79178543623531,101,5.590909091,1.167748416,44,6.224137931,0.859275571,58,3.127659574,1.568951759,47,3.711538462,1.963755291,52,0.633228839999999,5.15098039215686,0.831305163946187,5.5873821246321,4.90759223451291,4.6201535088417,4.63496480692533,4.13525535884756,6.21550800895274,3.4379143301716,4.2479479071619,3.76177873907009,4.2109176222766,-1.37503892801761
20,1,6.2956898636945,79,Birthday_1,Scene,10,1,Pixabay,5.7843137254902,0.950533471688317,102,3.45544554455446,1.63416493950426,101,5.511111111,0.894991677,45,6,0.953462589,56,3.142857143,1.527525232,49,3.75,1.690515642,52,0.488888889,6.5843137254902,0.754931489362975,6.98698519150707,6.6033487981633,6.88330433062678,6.81066911073941,5.43003610167037,6.68255031672367,6.23568380919506,6.28487260798331,6.47870168540275,4.5607466849333,0.511376138204303
21,-1,4.50470367310952,355,Food_2,Object,18,1,Pixabay,5.34259259259259,1.29818015711166,108,2.96153846153846,1.90004127151433,104,5.350877193,1.141603322,57,5.333333333,1.465150732,51,3.040816327,1.914410088,49,2.890909091,1.901974873,55,0.0175438599999999,4.54259259259259,0.558808443068058,4.78461400768219,4.30131260944301,4.56414275495259,4.44924909382197,4.10436644909665,5.32060040589791,5.38410897403033,4.59325989236106,3.82386929261216,3.72151325119735,-0.837888919483065
22,-1,5.20647384584601,509,Mother_5,Person,23,1,Pixabay,5.93518518518519,1.01643640039117,108,3.50961538461538,1.62501795244866,104,5.789473684,1.064640149,57,6.098039216,0.943502029,51,3.510204082,1.659850006,49,3.509090909,1.60868853,55,0.308565532,5.13518518518519,0.543556939933749,5.25809718619259,4.80190274580502,4.93936116499469,5.6270264335011,5.9809075692741,4.9618936724232,6.19405452643083,4.62772219325755,4.80945339500804,4.86431957157298,-0.72871133933918
23,1,6.79289378144827,59,Beach_1,Scene,8,1,Pixabay,6.36633663366337,0.845254663130914,101,4.7378640776699,1.69173982290505,103,6.224137931,0.918486617,58,6.558139535,0.700419112,43,4.612244898,1.469358229,49,4.849056604,1.895300123,53,0.334001604,7.16633663366337,0.303423855569931,6.88143335036293,6.71925351676013,6.88291979373034,6.99602491543506,6.93164702335254,6.84679451086112,6.93143925969612,6.87623871916912,5.95379095753371,6.90939576758162,0.426557147784898
24,1,4.60875575813681,246,Doctor_5,Person,13,1,Pixabay,3.68316831683167,1.05764543273544,101,3.64077669902913,1.73688005688383,103,3.793103448,1.055621887,58,3.534883721,1.054442692,43,3.571428571,1.707825128,49,3.716981132,1.790760029,53,0.258219727,4.48316831683167,0.939784856268692,3.18228097979193,3.58374749392776,4.78850983278236,5.24706627875322,5.32498985094184,6.10217285909265,3.72438277404015,5.43834228085454,4.5403444726105,4.15572075857318,0.925587441305141
25,-1,4.55718384728876,103,Bungee_jumping_3,Person,11,1,Flickr/Eric Chan,5.11111111111111,1.36260699371266,108,4.35576923076923,1.68326006638395,104,5.105263158,1.397500454,57,5.117647059,1.336369093,51,3.87755102,1.666241442,49,4.781818182,1.595025938,55,0.0123839010000006,4.31111111111111,0.482224697410901,4.2552781952783,3.72625076123097,4.99614516542454,4.47594564923866,4.70734453030205,4.46461428870268,4.87650882005223,5.36987982949847,4.00896771531934,4.69090351784039,-0.553927263822346
26,-1,4.79574271386906,531,Nude_couple_5,Person,24,1,Wikipedia,5.68518518518519,1.35099927120873,108,5.34615384615385,1.29051228459248,104,5.684210526,1.283937787,57,5.68627451,1.435133389,51,5.204081633,1.224397672,49,5.472727273,1.345149661,55,0.0020639839999994,4.88518518518519,0.510909428848251,4.05172553077405,5.48592099456396,4.31463128969813,4.77517794931619,4.48532503783108,4.95575264478551,5.30268262849025,5.38372781599707,4.98013411715211,4.22234913008223,-0.889442471316131
27,-1,3.54627248896633,9,Alcohol_6,Object,2,1,Pixabay,4.53703703703704,1.04502314892686,108,2.64423076923077,1.63052358754159,104,4.49122807,1.182050383,57,4.588235294,0.875818944,51,2.612244898,1.591858538,49,2.672727273,1.678342938,55,0.0970072240000003,3.73703703703704,1.07853344262584,1.76320028106319,2.28030235236035,3.70570984706944,4.51960553302226,2.58238452531926,4.21210408813993,4.08306331039344,3.32510903342613,3.72028977490603,5.27095614396331,-0.990764548070706
28,1,6.46585687282499,875,Wedding_2,Person,31,1,Pixabay,5.7843137254902,1.1657441508986,102,3.84158415841584,1.62931073320792,101,5.466666667,1.324592562,45,6.053571429,0.961431562,56,3.755102041,1.534744988,49,3.923076923,1.724632997,52,0.586904761999999,6.5843137254902,0.648872273682486,6.84742930404953,6.88486280372336,4.84283660765917,6.72288962595686,6.87361617025755,6.02722829563211,6.64712930002284,6.70372900506001,6.16448841666586,6.94435919922258,0.681543147334788
29,1,6.14255510904284,75,Bird_2,Animal,9,1,Pixabay,5.47524752475248,1.1008547534161,101,3.69902912621359,1.54561334647136,103,5.310344828,1.012325732,58,5.697674419,1.185927078,43,3.673469388,1.625163519,49,3.698113208,1.488221779,53,0.387329591,6.27524752475248,0.735763374354475,6.46606826790176,6.49747545017406,6.86546989711451,5.18758697094756,6.027243388693,6.57920686025916,6.20421291046964,6.95948300382562,6.01819920988488,4.62060513115816,0.667307584290356
30,1,4.38002258031438,265,Dog_15,Animal,15,1,Wikipedia,3.43137254901961,1.74350167692974,102,3.93069306930693,1.81249786616467,101,3.511111111,1.687146895,45,3.410714286,1.786584204,56,3.795918367,1.881705696,49,4.057692308,1.753578543,52,0.100396824999999,4.23137254901961,0.385400569242559,4.60325055347263,4.73987847873012,4.71735025403422,4.50724298345184,4.67350944419648,3.73500017616461,4.25191521131435,4.61663638454669,3.72353470773492,4.23190760949792,0.948650031294768
31,-1,2.44570421296653,711,Scared_face_3,Person,25,1,Pixabay,3.0462962962963,1.29256868983048,108,4.11538461538461,1.73657229788467,104,3.192982456,1.394358487,57,2.882352941,1.160121697,51,4,1.707825128,49,4.218181818,1.771073216,55,0.310629515,2.2462962962963,0.436097099548999,2.56705118216517,2.96158907356395,1.92494395492921,2.24306940232393,3.07639949501816,2.402913865853,2.30257079881595,2.01454899896842,1.97705656692682,2.98689879110075,-0.600592083329766
32,-1,2.33101034796155,414,Gun_4,Object,21,1,Pixabay,2.86274509803922,1.4558806370823,102,3.89108910891089,1.75442862550182,101,3.088888889,1.564117849,45,2.714285714,1.344541635,56,4,1.837117307,49,3.788461538,1.68425859,52,0.374603175,2.06274509803922,0.582645231927676,1.60226763565483,2.55747138283582,3.14096711078392,2.0473859455338,2.80107831840513,1.57501462247508,2.17425607103659,1.93921600340448,3.20392654532777,2.26851984415811,-0.531734750077667
33,-1,3.72509571610605,45,Bar_2,Scene,6,2,Pixabay,4.75247524752475,1.02377673927531,101,3.78640776699029,1.74136798510451,103,4.75862069,0.978906386,58,4.744186047,1.0931175,43,4.12244898,1.628299894,49,3.471698113,1.814511733,53,0.0144346429999995,3.95247524752475,0.638752010424017,4.27575127021155,3.95164400693836,3.70541811979627,3.64938136851401,2.75913337484735,4.71947696345075,4.39751572855908,3.1914462252394,2.91838944629339,3.68280065721028,-1.0273795314187
34,-1,2.59522178127255,409,Graveyard_4,Scene,20,2,Wikipedia,3.21296296296296,1.2828919282426,108,3.625,1.66160233813542,104,3.263157895,1.39548143,57,3.156862745,1.155379574,51,3.489795918,1.569533489,49,3.745454545,1.745026603,55,0.106295149999999,2.41296296296296,0.660984606552939,1.6256831964257,2.33521852923668,2.72729864809333,3.88337132592257,2.4406601906195,2.81306376973376,3.25347126900962,2.7691033432718,1.80412976544627,2.30021777496628,-0.617741181690409
35,-1,1.77515008823569,24,Animal_carcass_3,Animal,4,2,Wikipedia,2.75,1.36117733536735,108,4.42307692307692,2.02744426469696,104,3.070175439,1.437503405,57,2.392156863,1.184540947,51,3.897959184,1.992118826,49,4.890909091,1.959523064,55,0.678018575999999,1.95,0.764855182770328,2.24651456942533,2.03250574389215,1.19345506601684,2.56286868297704,1.08208297073957,1.02404571799813,1.03328373647306,2.86393617247129,2.63877867191268,1.07402955045084,-0.974849911764307
36,-1,5.07061888965526,876,Wedding_3,Person,31,2,Pixabay,5.7843137254902,1.29452350636156,102,4.10891089108911,1.63034346135414,101,5.244444444,1.50989999,45,6.232142857,0.894245674,56,3.755102041,1.57494196,49,4.442307692,1.625935164,52,0.987698413,4.9843137254902,0.506307672089346,5.76725651818729,4.92112431768123,5.29277349398651,5.80664694479622,4.77624561985807,4.8483852203667,5.04770357266995,4.82799286434481,4.09606368711632,5.32199665754547,-0.713694835834941
37,1,3.56548200618632,771,Snake_5,Animal,27,2,Wikipedia,2.9009900990099,1.34539920094409,101,4.39805825242718,1.85419400504319,103,3.068965517,1.197395843,58,2.674418605,1.50745655,43,4.591836735,1.85874473,49,4.20754717,1.864222776,53,0.394546912,3.7009900990099,0.808666386327187,2.38341531099968,2.91467011729801,4.10570443748256,3.98820725708971,4.40284852891339,4.0445312329939,4.58323826190058,2.29762086575257,3.48783651650735,3.4467475329255,0.664491907176425
38,-1,2.93600310387221,275,Dog_25,Animal,15,2,Flickr/InkHong,3.4537037037037,1.53089222814402,108,4.05769230769231,1.79441919682131,104,3.666666667,1.573591585,57,3.215686275,1.460324971,51,3.612244898,1.705583069,49,4.454545455,1.793178244,55,0.450980391999999,2.6537037037037,0.426705193664055,2.52244578441988,3.5227006692774,2.98444550758092,3.41983439073197,3.08957276704778,3.36016737057342,2.58755563987717,2.73431066968568,2.2139938104848,2.92500442904308,-0.517700599831491
39,1,2.92627949182994,364,Frustrated_pose_3,Person,19,2,Pixabay,2.35185185185185,0.88934308229947,108,3.55769230769231,1.78356533450965,104,2.456140351,0.92717265,57,2.235294118,0.838766601,51,3.265306122,1.617295971,49,3.818181818,1.896301557,55,0.220846233,3.15185185185185,0.674279816852645,2.88623675702709,2.81916387324984,4.32485959498135,2.63499355041989,1.88099977290708,3.21256167380879,3.50203210567479,2.897765270675,2.90636741810585,2.19781490144973,0.574427639978092
40,1,6.14750626288641,897,Yoga_3,Person,32,2,Pixabay,5.49019607843137,0.95175812343737,102,3.64356435643564,1.47366318007774,101,5.295454545,0.878146713,44,5.637931034,0.985834331,58,4.063829787,1.22304423,47,3.230769231,1.591834367,52,0.342476489,6.29019607843137,0.594608218484219,6.87181659297205,5.9222795336283,6.59074731653005,6.37881619838634,6.93909510375831,5.59424240881771,5.18101205466999,6.50779154822039,5.61147019663623,5.87779167524476,0.657310184455044
41,-1,1.76263173759948,18,Angry_face_4,Person,3,2,Flickr/Jan Tik,2.49019607843137,1.14100093316764,102,3.87128712871287,1.85829688874859,101,2.511111111,1.198905225,45,2.5,1.095445115,56,3.795918367,1.978842168,49,3.942307692,1.753578543,52,0.0111111109999999,1.69019607843137,0.681115532610965,1.98854629619983,1.05659707524282,2.32454360486435,1.86485597862643,3.0161558268226,1.04507204915887,1.1847668371436,1.06625792852512,1.69272469790662,2.38679708150451,-0.727564340831894
42,1,3.62051373141354,417,Gun_7,Object,21,2,Pixabay,2.88118811881188,1.56388700814906,101,4.01941747572816,1.89416328739089,103,3.310344828,1.580660494,58,2.302325581,1.354619675,43,4.204081633,1.80253978,49,3.849056604,1.994186034,53,1.008019247,3.68118811881188,0.597766819292501,4.21858733509969,3.44235749417273,3.23780627065747,3.95748020064749,3.10828110123659,2.72797734073869,3.46970594298353,4.80061025520388,3.4065633459347,3.83576802746064,0.739325612601661
43,1,4.46819903279353,732,Shark_7,Animal,26,2,Wikipedia,3.81188118811881,1.1892255571348,101,4.28155339805825,1.65930221412706,103,3.724137931,1.166688272,58,3.930232558,1.222708719,43,4.510204082,1.621758934,49,4.037735849,1.675183849,53,0.206094627,4.61188118811881,0.550753699789787,4.47818859394532,4.59287560225992,4.22329795604146,3.9159526760029,5.50236538488908,5.07935052716932,3.97433797686396,3.87500656642557,4.91092069352042,4.12969435081739,0.656317844674724
44,1,3.78409392913549,497,Miserable_pose_4,Person,22,2,Wikipedia,2.58333333333333,0.977551776958906,108,3.96153846153846,1.60655862633941,104,2.807017544,1.042637392,57,2.333333333,0.840634681,51,3.836734694,1.637413341,49,4.072727273,1.585285877,55,0.473684210999999,3.38333333333333,0.829822500747239,3.19029770882541,1.92346661352145,3.07570344867254,3.88168046357954,4.10186661206322,4.2827875364854,4.08383754991478,4.13470727572496,4.70915608296258,4.45743599960498,1.20076059580216
45,1,5.04543543222321,52,Bark_4,Object,7,2,Pixabay,4.23762376237624,0.736865182397501,101,2.24271844660194,1.50467258778151,103,4.25862069,0.784953789,58,4.209302326,0.674647687,43,2.367346939,1.536959628,49,2.150943396,1.48578167,53,0.0493183639999994,5.03762376237624,0.560572755323009,5.03376473138431,5.87770378574323,4.31381176515985,4.44432633424992,5.34101918818732,4.41635697677821,5.12248659693817,4.75629033903832,5.80529858862369,5.34329601612903,0.807811669846966
46,-1,2.73181109453922,250,Doctor_9,Person,13,2,Pixabay,3.67647058823529,1.1953852248376,102,4.10891089108911,1.49600127071477,101,3.704545455,0.904241824,44,3.655172414,1.383508433,58,3.978723404,1.436925487,47,4.307692308,1.502135232,52,0.0493730409999999,2.87647058823529,0.703902570254543,2.57800481498375,3.49920783276545,3.33129560455581,1.61214556794468,3.59375806734876,3.45413317280754,2.7110380028213,2.18958448113923,2.33775882563001,2.0111845753957,-0.944659493696068
47,1,5.30810846488899,3,Acorns_3,Object,1,2,Pixabay,4.75490196078431,0.958921367116694,102,2.30693069306931,1.51487672275618,101,4.688888889,0.848051838,45,4.821428571,1.046329391,56,2.346938776,1.507633637,49,2.269230769,1.535404202,52,0.132539682,5.55490196078431,0.772081218731284,4.62792437213697,6.60509561715709,4.01286995954464,5.7806622526555,5.84960507437206,4.98041116464764,4.87838083343416,5.98144570127661,4.82955397560964,5.53513569805557,0.553206504104677
48,-1,4.92074854408636,77,Bird_4,Animal,9,2,Pixabay,5.54901960784314,1.06824044258588,102,3.57425742574257,1.73405037212571,101,5.244444444,1.069314894,45,5.785714286,1.021839441,56,3.326530612,1.625163519,49,3.807692308,1.815385894,52,0.541269842,4.74901960784314,0.67009926026056,5.66944053383706,5.0316973701139,4.50810324840901,4.06297462773085,6.04916140176411,4.96569652467045,4.40664769962501,4.26260129922224,4.62274478671146,5.62841794877952,-0.628271063756778
49,-1,5.26309826551925,36,Baby_5,Person,5,2,Pixabay,6.13888888888889,1.06304388681557,108,3.72115384615385,1.82993835520997,104,5.859649123,1.140779754,57,6.450980392,0.878947677,51,3.510204082,1.827138576,49,3.909090909,1.828506041,55,0.591331269,5.33888888888889,0.383636944483242,5.16342173156788,5.7268541341991,5.87010544593222,5.43257875065306,5.14809584136316,4.95904953245484,4.52471570236916,5.14742671222126,5.45054160136516,5.20819320306662,-0.875790623369645
50,-1,5.22787119151061,270,Dog_20,Animal,14,2,Pixabay,5.9009900990099,0.943450586888889,101,4.19417475728155,1.63334285167605,103,5.689655172,0.940453354,58,6.186046512,0.879821788,43,4.081632653,1.511576642,49,4.283018868,1.758248238,53,0.496391339999999,5.1009900990099,0.473256859976832,5.39647891537122,4.89462373122983,4.8460141701736,5.55434930669098,4.88851755308942,4.94220354584469,4.4908835150333,5.88902174951819,5.79512325118959,5.58149617696528,-0.673118907499291
51,1,5.62967644484979,356,Food_3,Object,18,2,Pixabay,5.30392156862745,1.03205280091991,102,2.84158415841584,1.66572910923311,101,5.181818182,0.84282822,44,5.396551724,1.153783329,58,2.914893617,1.54398957,47,2.769230769,1.766966877,52,0.214733542,6.10392156862745,0.630616295276912,6.27962452062545,5.91868602218951,5.53468802686979,6.19633331670049,5.27466538216388,6.34221595665341,4.98945617596327,4.38628723365305,5.9582371640243,5.41657064965477,0.325754876222342
52,1,6.6022791738973,512,Mother_8,Person,23,2,Pixabay,5.93137254901961,1.24486910458723,102,3.97029702970297,1.79697215083904,101,5.822222222,1.230094026,45,6.017857143,1.271950134,56,3.693877551,1.793554218,49,4.230769231,1.778029143,52,0.195634920999999,6.73137254901961,0.591998994529812,6.26800727167112,6.86900638769628,6.600412416934,6.8243543209729,6.72708258058763,6.81952541491157,5.0303946497683,6.98464428328901,6.92981098447674,6.96955342866548,0.670906624877693
53,1,3.21735424072455,169,Cockroach_4,Animal,12,2,Pixabay,2.2843137254902,1.23783147160143,102,3.94059405940594,2.08720761870121,101,2.363636364,1.12251605,44,2.224137931,1.325103153,58,3.361702128,1.949643579,47,4.557692308,2.042811035,52,0.139498432999999,3.0843137254902,0.723647419820554,4.27584604882633,3.35817846097603,3.17344582639228,4.65996544210526,3.07683917362584,2.76892929783852,2.66777902024025,2.56934501702002,3.14150026879862,2.48171385142236,0.933040515234352
54,-1,1.4740728683993,310,Feces_2,Object,16,2,Wikipedia,2.00980392156863,1.02922731797387,102,3.52475247524752,2.05715366176638,101,2.222222222,1.063632047,45,1.857142857,0.980325946,56,3.142857143,2.121320344,49,3.884615385,1.946881329,52,0.365079365,1.20980392156863,0.393381473425001,1.02948339766763,1.50192212555545,1.9969958574298,1.68765419001758,2.18706807927103,1.1555122075216,1.22328765807803,1.07981024662136,1.29004877229859,1.58894614953193,-0.53573105316933
55,-1,3.37117984149309,861,Wall_3,Object,30,2,Pixabay,4.05882352941176,0.462954981703891,102,1.81188118811881,1.30163644146227,101,4.045454545,0.301511345,44,4.068965517,0.557628719,58,1.936170213,1.325408146,47,1.692307692,1.291578477,52,0.0235109719999995,3.25882352941176,0.58560712112551,2.74729055866841,4.2230304818409,3.86997128096695,2.8910423726268,2.7429250366799,4.24645020822112,3.2807828137994,3.38850182079569,3.50332086496457,2.8184829763672,-0.687643687918667
